Sample ID	ID from paper		HG by YTree*	Variants	Terminal SNPs
ERR1395609 	R3 		R-Z29113* 		
ERR1347688 	HGDP01297 		R-Y26645 		
ERR1395586 	Bishkek28440 		R-YP1563 		
ERR1347739 	HGDP01350 		R-YP5716 		
ERR1019041 	HGDP01402 		R-BY82357 		
ERR1347698 	Sir19 		R-YP940* 		
ERR1347667 	lez42 		R-A12317 		
ERR1395555 	Armenian222 		R-A12337 		
ERR1347675 	lez49 		R-A12360 		
ERR1395575 	ND15865 		R-Y23493* 		
ERR1395619 	HGDP00533 		R-L704 		
ERR1019062 	HGDP00798 		R-Y26648 		
ERR1395617 	TZ-11 		R-Y27962 		
ERR1019045 	HGDP01364 		R-Y27974 		
ERR1395587 	Kayseri23827 		R-BY11117* 		
ERR1395560 	M4 		R-Y26630* 		
ERR1395545 	I1 		R-Y1378* 		
ERR1395559 	B11 		R-Y34210 		
ERR1019039 	HGDP01344 		N-CTS4714* 		
ERR1347725 	Mansi79 		N-Y23785* 		
ERR1347715 	Ale32 		N-B226* 		
ERR1025646 	HGDP01203 		N-Y125664 		
ERR1347705 	HGDP00951 		N-Y25011 		
ERR1347689 	Sir26 		N-B202 		
ERR1347706 	Esk29 		N-B202 		
ERR1347674 	Est375 		N-Y16267 		
ERR1347666 	Est400 		N-BY14141* 		
ERR1395616 	Utsa22 		N-Y22091* 		
ERR1395580 	NA17385 		O-M110 		
ERR1025598 			O-CTS3269* 		
ERR1395551 	Igor21 		O-F168* 		
ERR1019056 	HGDP00785 		O-F18517 		
ERR1025627 	HGDP01240 		O-Y26376* 		
ERR1395592 	HGDP00775 		O-F11242 		
ERR1347664 	HGDP01179 		O-Z39485* 		
ERR1347687 	HGDP01312 		O-Y26463 		
ERR1395553 	KD4 		O-Y9033* 		
ERR1025617 	HGDP00717 		O-YP3930* 		
ERR1019060 	HGDP01191 		O-F2758* 		
ERR1347681 	HGDP01095 		O-Y26364 		
ERR1395613 	Bu16 		O-MF1155 		
ERR1025625 	HGDP00124 		O-SK1692 		
ERR1019051 	HGDP00019 		O-SK1686* 		
ERR1025610 	NA13607 		O-Y26395 		
ERR1347735 	NA13616 		O-Y26395 		
ERR1347722 	HGDP01333 		O-F1234 		
ERR1347709 	ND19394 		O-CTS2815* 		
ERR1025644 	HGDP01228 		O-FGC23868* 		
ERR1347697 	HGDP01246 		O-CTS335* 		
ERR1347684 	CHI-007 		O-CTS5741* 		
ERR1019038 	HGDP00749 		O-CTS5672 		
ERR1395610 	Bu5 		O-F14422a* 		
ERR1347719 	HGDP01338 		O-F14665 	
